task,k50,k90
bool_band,4,4
bool_bor,4,4
bool_impl,4,4
bool_neg,2,2
bool_xor,4,4
list_append,3,4
list_concat,2,4
list_drop,6,9
list_even_parity,---,---
list_hd,2,3
list_inc,2,2
list_last,5,9
list_length,3,4
list_nth,7,14
list_rev_append,5,8
list_rev_fold,2,4
list_rev_snoc,3,6
list_rev_tailcall,3,4
list_snoc,3,4
list_sort_sorted_insert,3,6
list_stutter,3,3
list_sum,2,2
list_take,6,9
list_tl,2,3
nat_add,5,6
nat_iseven,4,4
nat_max,8,12
nat_pred,2,3
tree_collect_leaves,3,4
tree_count_nodes,4,---
tree_inorder,3,4
tree_preorder,3,4
